weekday,time,sudo,household,pur,trip,gender,ln_dis,ln_time
0,0,0,4,11,1,0,2.302585093,2.833213344
0,0,0,4,8,1,1,2.833213344,2.708050201
0,0,0,3,0,0,0,0,0
1,0,0,1,5,1,1,1.609437912,3.218875825
0,0,0,4,8,1,0,1.098612289,2.302585093
1,0,0,4,6,1,1,0,1.609437912
0,0,0,4,9,1,1,4.86753445,4.941642423
1,0,0,5,1,1,0,0,0
0,1,0,3,5,1,0,1.945910149,2.995732274
0,0,0,4,10,1,0,4.605170186,3.912023005
0,0,0,4,7,1,0,2.302585093,2.890371758
0,0,0,4,10,1,1,2.397895273,2.397895273
0,0,0,3,10,1,0,2.995732274,2.995732274
1,1,0,1,4,1,1,4.127134385,4.094344562
0,0,0,4,10,1,0,1.098612289,2.833213344
1,1,0,4,10,1,1,2.302585093,3.218875825
0,0,0,4,7,1,1,5.010635294,5.192956851
1,0,0,5,4,1,0,1.098612289,2.63905733
0,0,0,3,8,1,0,0,1.609437912
0,0,0,4,8,1,0,1.609437912,2.302585093
0,0,0,4,5,1,0,3.912023005,3.931825633
0,1,0,4,5,1,1,4.406719247,4.317488114
0,0,0,3,5,1,0,2.995732274,2.995732274
1,0,0,1,5,1,1,4.110873864,3.80666249
0,1,0,4,5,1,0,1.098612289,2.708050201
1,1,0,4,5,1,1,0,1.609437912
0,1,0,4,5,1,1,2.708050201,3.688879454
1,0,0,5,5,1,0,2.197224577,3.33220451
0,0,0,3,5,1,0,0,2.302585093
0,1,0,4,10,1,0,1.609437912,2.302585093
0,0,0,4,10,1,0,2.079441542,2.63905733
0,0,0,4,10,1,1,1.791759469,2.302585093
1,1,0,1,4,1,1,2.302585093,2.995732274
1,1,0,4,1,1,1,2.63905733,3.688879454
0,0,0,5,0,0,0,0,0
0,0,0,4,7,1,0,3.401197382,2.995732274
0,1,0,4,5,1,0,2.197224577,2.833213344
0,0,0,4,5,1,1,1.945910149,2.302585093
1,0,0,1,5,1,1,2.397895273,2.708050201
1,1,0,4,10,1,1,1.098612289,2.708050201
0,0,0,5,10,1,0,0.693147181,2.833213344
0,0,0,4,10,1,0,3.401197382,2.995732274
0,0,0,1,8,1,1,1.609437912,2.708050201
0,0,0,4,5,1,1,2.197224577,2.995732274
